Trace
Swept SA
A.14.16,N9030A
89380000,-80.5916900634766
89410000,-89.8421478271484
89440000,-84.6584548950195
89470000,-84.6567993164063
89500000,-79.2702560424805
89530000,-77.651008605957
89560000,-76.0376281738281
89590000,-75.8463592529297
89620000,-76.1893844604492
89650000,-78.2337951660156
89680000,-75.2791595458984
89710000,-74.8299255371094
89740000,-71.4166870117188
89770000,-73.5926513671875
89800000,-71.4684982299805
89830000,-85.8862915039063
89860000,-76.1628952026367
89890000,-74.9228668212891
89920000,-74.4324722290039
89950000,-74.5116577148438
89980000,-76.5935440063477
90010000,-80.3951873779297
90040000,-84.9001541137695
90070000,-84.1466598510742
90100000,-81.0714950561523
90130000,-81.4924240112305
90160000,-81.7355041503906
90190000,-81.5684814453125
90220000,-82.4913787841797
90250000,-94.3185195922852
90280000,-87.0307006835938
90310000,-88.1204223632813
90340000,-86.8605575561523
90370000,-91.2699890136719
90400000,-88.2065811157227
90430000,-86.53662109375
90460000,-82.6853637695313
90490000,-81.1645889282227
90520000,-81.2996292114258
90550000,-85.867805480957
90580000,-90.8813552856445
90610000,-90.2344207763672
90640000,-86.3537673950195
90670000,-86.6828308105469
90700000,-86.2144927978516
90730000,-86.3304214477539
90760000,-87.4951095581055
90790000,-88.0784606933594
90820000,-87.0574417114258
90850000,-93.8186721801758
90880000,-94.4769897460938
90910000,-105.314910888672
90940000,-97.5831909179688
90970000,-96.3130264282227
91000000,-84.4502334594727
91030000,-88.243782043457
91060000,-84.5145263671875
91090000,-86.2421722412109
91120000,-84.7074432373047
91150000,-89.0896759033203
91180000,-83.2945175170898
91210000,-80.1892242431641
91240000,-80.1442031860352
91270000,-82.8823852539063
91300000,-89.7369537353516
91330000,-88.9966812133789
91360000,-77.8511810302734
91390000,-77.8972930908203
91420000,-77.2187576293945
91450000,-86.0708770751953
91480000,-82.2894439697266
91510000,-82.0775909423828
91540000,-81.5526580810547
91570000,-84.0916748046875
91600000,-89.9364395141602
91630000,-90.8556594848633
91660000,-89.4127883911133
91690000,-87.2643814086914
91720000,-86.5579223632813
91750000,-89.5327529907227
91780000,-86.6045761108398
91810000,-88.165397644043
91840000,-81.2876739501953
91870000,-82.2664184570313
91900000,-81.0219802856445
91930000,-82.8341445922852
91960000,-79.6788787841797
91990000,-80.7531661987305
92020000,-79.8019714355469
92050000,-86.4250259399414
92080000,-78.5691070556641
92110000,-78.1845474243164
92140000,-77.494987487793
92170000,-84.9294128417969
92200000,-80.06982421875
92230000,-79.4059906005859
92260000,-79.394775390625
92290000,-82.0844573974609
92320000,-83.9407196044922
92350000,-83.4429779052734
92380000,-77.8469848632813
92410000,-78.2017669677734
92440000,-77.7003555297852
92470000,-84.5755004882813
92500000,-79.9929809570313
92530000,-79.711311340332
92560000,-78.9423828125
92590000,-81.6019287109375
92620000,-81.4047775268555
92650000,-83.0692138671875
92680000,-81.3132629394531
92710000,-97.8800201416016
92740000,-89.4640731811523
